ReplanNumber,Timestamp,SubtreeName,OldPlanNodes,NodesReplaced,NodesAlreadyFinished,NewPlanNodes,TotalBTNodes,TotalFlowNodes,TotalActionNodes,TotalMLActions,PRR_Subtree_Percent,BTNodeSize_Percent,BTWidthChange_Percent
1,2026-07-06 17:12:49.146,FF_Default_DynamicFlow_PickUpHL_lp2_fp9_r1,5,5,0,3,163,19,144,20,100.0,3.1,1.61
2,2026-07-06 17:12:49.148,FF_Default_DynamicFlow_PickUpHL_lp3_fp17_r1,5,5,0,3,158,19,139,15,100.0,3.2,1.61
3,2026-07-06 17:12:49.148,FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1,5,5,0,3,153,19,134,10,100.0,3.3,1.61
4,2026-07-06 17:12:51.007,FF_Default_DynamicFlow_PickUpHL_lp2_fp9_r1,3,3,0,2,160,20,140,16,100.0,1.9,0.81
5,2026-07-06 17:12:51.009,FF_Default_DynamicFlow_PickUpHL_lp3_fp17_r1,3,3,0,2,157,20,137,13,100.0,1.9,0.81
6,2026-07-06 17:12:51.009,FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1,3,3,0,2,154,20,134,10,100.0,1.9,0.81
7,2026-07-06 17:12:52.869,FF_Default_DynamicFlow_PickUpHL_lp3_fp17_r1,2,2,0,3,166,21,145,21,100.0,1.2,-0.81
8,2026-07-06 17:12:52.870,FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1,2,2,0,3,164,21,143,19,100.0,1.2,-0.81
9,2026-07-06 17:12:52.871,FF_Default_DynamicFlow_GluingPlateHL_lp1_pr1_r1,8,8,0,11,162,21,141,17,100.0,4.9,-2.42
10,2026-07-06 17:12:54.757,FF_Default_DynamicFlow_PickUpHL_lp3_fp17_r1,3,3,0,2,174,22,152,28,100.0,1.7,0.81
11,2026-07-06 17:12:54.758,FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1,3,3,0,2,171,22,149,25,100.0,1.8,0.81
12,2026-07-06 17:12:54.758,FF_Default_DynamicFlow_GluingPlateHL_lp1_pr1_r1,11,11,0,8,168,22,146,22,100.0,6.5,2.42
13,2026-07-06 17:12:56.623,FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1,2,2,0,3,178,23,155,31,100.0,1.1,-0.81
14,2026-07-06 17:12:56.624,FF_Default_DynamicFlow_GluingPlateHL_lp1_pr1_r1,8,8,0,11,176,23,153,29,100.0,4.5,-2.42
15,2026-07-06 17:12:56.624,FF_Default_DynamicFlow_GluingPlateHL_lp2_pr2_r1,8,8,0,11,168,23,145,21,100.0,4.8,-2.42
16,2026-07-06 17:12:58.573,FF_Default_DynamicFlow_PickUpHL_lp4_fp25_r1,3,3,0,2,188,24,164,40,100.0,1.6,0.81
17,2026-07-06 17:12:58.574,FF_Default_DynamicFlow_GluingPlateHL_lp1_pr1_r1,11,11,0,8,185,24,161,37,100.0,5.9,2.42
18,2026-07-06 17:12:58.574,FF_Default_DynamicFlow_GluingPlateHL_lp2_pr2_r1,11,11,0,8,174,24,150,26,100.0,6.3,2.42
19,2026-07-06 17:13:00.544,FF_Default_DynamicFlow_GluingPlateHL_lp1_pr1_r1,8,8,0,11,190,25,165,41,100.0,4.2,-2.42
20,2026-07-06 17:13:00.545,FF_Default_DynamicFlow_GluingPlateHL_lp2_pr2_r1,8,8,0,11,182,25,157,33,100.0,4.4,-2.42
21,2026-07-06 17:13:00.545,FF_Default_DynamicFlow_GluingPlateHL_lp3_pr3_r1,8,8,0,11,174,25,149,25,100.0,4.6,-2.42
22,2026-07-06 17:13:02.610,FF_Default_DynamicFlow_GluingPlateHL_lp1_pr1_r1,11,11,0,8,202,26,176,52,100.0,5.4,2.42
23,2026-07-06 17:13:02.610,FF_Default_DynamicFlow_GluingPlateHL_lp2_pr2_r1,11,11,0,8,191,26,165,41,100.0,5.8,2.42
24,2026-07-06 17:13:02.611,FF_Default_DynamicFlow_GluingPlateHL_lp3_pr3_r1,11,11,0,8,180,26,154,30,100.0,6.1,2.42
25,2026-07-06 17:13:05.542,FF_Default_DynamicFlow_GluingPlateHL_lp2_pr2_r1,8,8,0,2,202,27,175,51,100.0,4.0,4.84
26,2026-07-06 17:13:05.543,FF_Default_DynamicFlow_GluingPlateHL_lp3_pr3_r1,8,8,0,2,194,27,167,43,100.0,4.1,4.84
27,2026-07-06 17:13:05.544,FF_Default_DynamicFlow_GluingPlateHL_lp4_pr4_r1,8,8,0,2,186,27,159,35,100.0,4.3,4.84
28,2026-07-06 17:13:07.365,FF_Default_DynamicFlow_GluingPlateHL_lp3_pr3_r1,2,2,0,2,194,28,166,42,100.0,1.0,0.00
29,2026-07-06 17:13:07.365,FF_Default_DynamicFlow_GluingPlateHL_lp4_pr4_r1,2,2,0,2,192,28,164,40,100.0,1.0,0.00
30,2026-07-06 17:13:07.366,FF_Default_DynamicFlow_PickUpHL_b1_fp2_r1,9,9,0,9,190,28,162,38,100.0,4.7,0.00
31,2026-07-06 17:13:09.489,FF_Default_DynamicFlow_GluingPlateHL_lp4_pr4_r1,2,2,0,2,204,29,175,51,100.0,1.0,0.00
32,2026-07-06 17:13:09.490,FF_Default_DynamicFlow_PickUpHL_b1_fp2_r1,9,9,0,9,202,29,173,49,100.0,4.5,0.00
33,2026-07-06 17:13:09.491,FF_Default_DynamicFlow_PickUpHL_b7_fp10_r1,9,9,0,9,193,29,164,40,100.0,4.7,0.00
34,2026-07-06 17:13:11.760,FF_Default_DynamicFlow_PickUpHL_b1_fp2_r1,9,9,0,9,214,30,184,60,100.0,4.2,0.00
35,2026-07-06 17:13:11.764,FF_Default_DynamicFlow_PickUpHL_b7_fp10_r1,9,9,0,9,205,30,175,51,100.0,4.4,0.00
36,2026-07-06 17:13:11.765,FF_Default_DynamicFlow_PickUpHL_b13_fp18_r1,9,9,0,9,196,30,166,42,100.0,4.6,0.00
37,2026-07-06 17:13:15.726,FF_Default_DynamicFlow_PickUpHL_b7_fp10_r1,9,9,0,3,224,31,193,69,100.0,4.0,4.84
38,2026-07-06 17:13:15.730,FF_Default_DynamicFlow_PickUpHL_b13_fp18_r1,9,9,0,3,215,31,184,60,100.0,4.2,4.84
39,2026-07-06 17:13:15.734,FF_Default_DynamicFlow_PickUpHL_b19_fp26_r1,9,9,0,3,206,31,175,51,100.0,4.4,4.84
40,2026-07-06 17:13:17.856,FF_Default_DynamicFlow_PickUpHL_b7_fp10_r1,3,3,0,2,209,32,177,53,100.0,1.4,0.81
41,2026-07-06 17:13:17.857,FF_Default_DynamicFlow_PickUpHL_b13_fp18_r1,3,3,0,2,206,32,174,50,100.0,1.5,0.81
42,2026-07-06 17:13:17.860,FF_Default_DynamicFlow_PickUpHL_b19_fp26_r1,3,3,0,2,203,32,171,47,100.0,1.5,0.81
43,2026-07-06 17:13:20.024,FF_Default_DynamicFlow_PickUpHL_b13_fp18_r1,2,2,0,3,209,33,176,52,100.0,1.0,-0.81
44,2026-07-06 17:13:20.025,FF_Default_DynamicFlow_PickUpHL_b19_fp26_r1,2,2,0,3,207,33,174,50,100.0,1.0,-0.81
45,2026-07-06 17:13:20.026,FF_Default_DynamicFlow_PickUpHL_b2_fp3_r1,2,2,0,3,205,33,172,48,100.0,1.0,-0.81
46,2026-07-06 17:13:22.116,FF_Default_DynamicFlow_PickUpHL_b13_fp18_r1,3,3,0,2,215,34,181,57,100.0,1.4,0.81
47,2026-07-06 17:13:22.119,FF_Default_DynamicFlow_PickUpHL_b19_fp26_r1,3,3,0,2,212,34,178,54,100.0,1.4,0.81
48,2026-07-06 17:13:22.120,FF_Default_DynamicFlow_PickUpHL_b2_fp3_r1,3,3,0,2,209,34,175,51,100.0,1.4,0.81
49,2026-07-06 17:13:24.230,FF_Default_DynamicFlow_PickUpHL_b19_fp26_r1,2,2,0,3,215,35,180,56,100.0,0.9,-0.81
50,2026-07-06 17:13:24.232,FF_Default_DynamicFlow_PickUpHL_b2_fp3_r1,2,2,0,3,213,35,178,54,100.0,0.9,-0.81
51,2026-07-06 17:13:24.233,FF_Default_DynamicFlow_PickUpHL_b8_fp11_r1,2,2,0,3,211,35,176,52,100.0,0.9,-0.81
52,2026-07-06 17:13:26.303,FF_Default_DynamicFlow_PickUpHL_b19_fp26_r1,3,3,0,2,221,36,185,61,100.0,1.4,0.81
53,2026-07-06 17:13:26.305,FF_Default_DynamicFlow_PickUpHL_b2_fp3_r1,3,3,0,2,218,36,182,58,100.0,1.4,0.81
54,2026-07-06 17:13:26.307,FF_Default_DynamicFlow_PickUpHL_b8_fp11_r1,3,3,0,2,215,36,179,55,100.0,1.4,0.81
55,2026-07-06 17:13:28.352,FF_Default_DynamicFlow_PickUpHL_b2_fp3_r1,2,2,0,3,221,37,184,60,100.0,0.9,-0.81
56,2026-07-06 17:13:28.355,FF_Default_DynamicFlow_PickUpHL_b8_fp11_r1,2,2,0,3,219,37,182,58,100.0,0.9,-0.81
57,2026-07-06 17:13:28.356,FF_Default_DynamicFlow_PickUpHL_b14_fp19_r1,2,2,0,3,217,37,180,56,100.0,0.9,-0.81
58,2026-07-06 17:13:30.413,FF_Default_DynamicFlow_PickUpHL_b2_fp3_r1,3,3,0,2,227,38,189,65,100.0,1.3,0.81
59,2026-07-06 17:13:30.414,FF_Default_DynamicFlow_PickUpHL_b8_fp11_r1,3,3,0,2,224,38,186,62,100.0,1.3,0.81
60,2026-07-06 17:13:30.414,FF_Default_DynamicFlow_PickUpHL_b14_fp19_r1,3,3,0,2,221,38,183,59,100.0,1.4,0.81
61,2026-07-06 17:13:32.560,FF_Default_DynamicFlow_PickUpHL_b8_fp11_r1,2,2,0,3,227,39,188,64,100.0,0.9,-0.81
62,2026-07-06 17:13:32.560,FF_Default_DynamicFlow_PickUpHL_b14_fp19_r1,2,2,0,3,225,39,186,62,100.0,0.9,-0.81
63,2026-07-06 17:13:32.561,FF_Default_DynamicFlow_PickUpHL_b20_fp27_r1,2,2,0,3,223,39,184,60,100.0,0.9,-0.81
64,2026-07-06 17:13:34.438,FF_Default_DynamicFlow_PickUpHL_b8_fp11_r1,3,3,0,2,233,40,193,69,100.0,1.3,0.81
65,2026-07-06 17:13:34.438,FF_Default_DynamicFlow_PickUpHL_b14_fp19_r1,3,3,0,2,230,40,190,66,100.0,1.3,0.81
66,2026-07-06 17:13:34.439,FF_Default_DynamicFlow_PickUpHL_b20_fp27_r1,3,3,0,2,227,40,187,63,100.0,1.3,0.81
67,2026-07-06 17:13:36.302,FF_Default_DynamicFlow_PickUpHL_b14_fp19_r1,2,2,0,3,233,41,192,68,100.0,0.9,-0.81
68,2026-07-06 17:13:36.303,FF_Default_DynamicFlow_PickUpHL_b20_fp27_r1,2,2,0,3,231,41,190,66,100.0,0.9,-0.81
69,2026-07-06 17:13:36.303,FF_Default_DynamicFlow_PickUpHL_b6_fp8_r1,2,2,0,3,229,41,188,64,100.0,0.9,-0.81
70,2026-07-06 17:13:38.242,FF_Default_DynamicFlow_PickUpHL_b14_fp19_r1,3,3,0,2,239,42,197,73,100.0,1.3,0.81
71,2026-07-06 17:13:38.243,FF_Default_DynamicFlow_PickUpHL_b20_fp27_r1,3,3,0,2,236,42,194,70,100.0,1.3,0.81
72,2026-07-06 17:13:38.243,FF_Default_DynamicFlow_PickUpHL_b6_fp8_r1,3,3,0,2,233,42,191,67,100.0,1.3,0.81
73,2026-07-06 17:13:40.190,FF_Default_DynamicFlow_PickUpHL_b20_fp27_r1,2,2,0,3,239,43,196,72,100.0,0.8,-0.81
74,2026-07-06 17:13:40.190,FF_Default_DynamicFlow_PickUpHL_b6_fp8_r1,2,2,0,3,237,43,194,70,100.0,0.8,-0.81
75,2026-07-06 17:13:40.191,FF_Default_DynamicFlow_PickUpHL_b12_fp16_r1,2,2,0,3,235,43,192,68,100.0,0.9,-0.81
76,2026-07-06 17:13:42.024,FF_Default_DynamicFlow_PickUpHL_b20_fp27_r1,3,3,0,2,245,44,201,77,100.0,1.2,0.81
77,2026-07-06 17:13:42.025,FF_Default_DynamicFlow_PickUpHL_b6_fp8_r1,3,3,0,2,242,44,198,74,100.0,1.2,0.81
78,2026-07-06 17:13:42.025,FF_Default_DynamicFlow_PickUpHL_b12_fp16_r1,3,3,0,2,239,44,195,71,100.0,1.3,0.81
79,2026-07-06 17:13:43.829,FF_Default_DynamicFlow_PickUpHL_b6_fp8_r1,2,2,0,3,245,45,200,76,100.0,0.8,-0.81
80,2026-07-06 17:13:43.829,FF_Default_DynamicFlow_PickUpHL_b12_fp16_r1,2,2,0,3,243,45,198,74,100.0,0.8,-0.81
81,2026-07-06 17:13:43.830,FF_Default_DynamicFlow_PickUpHL_b18_fp24_r1,2,2,0,3,241,45,196,72,100.0,0.8,-0.81
82,2026-07-06 17:13:45.643,FF_Default_DynamicFlow_PickUpHL_b6_fp8_r1,3,3,0,2,251,46,205,81,100.0,1.2,0.81
83,2026-07-06 17:13:45.643,FF_Default_DynamicFlow_PickUpHL_b12_fp16_r1,3,3,0,2,248,46,202,78,100.0,1.2,0.81
84,2026-07-06 17:13:45.643,FF_Default_DynamicFlow_PickUpHL_b18_fp24_r1,3,3,0,2,245,46,199,75,100.0,1.2,0.81
85,2026-07-06 17:13:47.527,FF_Default_DynamicFlow_PickUpHL_b12_fp16_r1,2,2,0,3,251,47,204,80,100.0,0.8,-0.81
86,2026-07-06 17:13:47.527,FF_Default_DynamicFlow_PickUpHL_b18_fp24_r1,2,2,0,3,249,47,202,78,100.0,0.8,-0.81
87,2026-07-06 17:13:47.528,FF_Default_DynamicFlow_PickUpHL_b24_fp32_r1,2,2,0,3,247,47,200,76,100.0,0.8,-0.81
88,2026-07-06 17:13:49.306,FF_Default_DynamicFlow_PickUpHL_b12_fp16_r1,3,3,0,2,257,48,209,85,100.0,1.2,0.81
89,2026-07-06 17:13:49.306,FF_Default_DynamicFlow_PickUpHL_b18_fp24_r1,3,3,0,2,254,48,206,82,100.0,1.2,0.81
90,2026-07-06 17:13:49.307,FF_Default_DynamicFlow_PickUpHL_b24_fp32_r1,3,3,0,2,251,48,203,79,100.0,1.2,0.81
91,2026-07-06 17:13:51.121,FF_Default_DynamicFlow_PickUpHL_b18_fp24_r1,2,2,0,3,257,49,208,84,100.0,0.8,-0.81
92,2026-07-06 17:13:51.123,FF_Default_DynamicFlow_PickUpHL_b24_fp32_r1,2,2,0,3,255,49,206,82,100.0,0.8,-0.81
93,2026-07-06 17:13:51.123,FF_Default_DynamicFlow_PickUpHL_b4_fp6_r1,2,2,0,3,253,49,204,80,100.0,0.8,-0.81
94,2026-07-06 17:13:52.901,FF_Default_DynamicFlow_PickUpHL_b18_fp24_r1,3,3,0,2,263,50,213,89,100.0,1.1,0.81
95,2026-07-06 17:13:52.901,FF_Default_DynamicFlow_PickUpHL_b24_fp32_r1,3,3,0,2,260,50,210,86,100.0,1.2,0.81
96,2026-07-06 17:13:52.902,FF_Default_DynamicFlow_PickUpHL_b4_fp6_r1,3,3,0,2,257,50,207,83,100.0,1.2,0.81
97,2026-07-06 17:13:54.720,FF_Default_DynamicFlow_PickUpHL_b24_fp32_r1,2,2,0,3,263,51,212,88,100.0,0.8,-0.81
98,2026-07-06 17:13:54.721,FF_Default_DynamicFlow_PickUpHL_b4_fp6_r1,2,2,0,3,261,51,210,86,100.0,0.8,-0.81
99,2026-07-06 17:13:54.721,FF_Default_DynamicFlow_PickUpHL_b10_fp14_r1,2,2,0,3,259,51,208,84,100.0,0.8,-0.81
100,2026-07-06 17:13:56.506,FF_Default_DynamicFlow_PickUpHL_b24_fp32_r1,3,3,0,2,269,52,217,93,100.0,1.1,0.81
101,2026-07-06 17:13:56.506,FF_Default_DynamicFlow_PickUpHL_b4_fp6_r1,3,3,0,2,266,52,214,90,100.0,1.1,0.81
102,2026-07-06 17:13:56.506,FF_Default_DynamicFlow_PickUpHL_b10_fp14_r1,3,3,0,2,263,52,211,87,100.0,1.1,0.81
103,2026-07-06 17:13:58.323,FF_Default_DynamicFlow_PickUpHL_b4_fp6_r1,2,2,0,3,269,53,216,92,100.0,0.7,-0.81
104,2026-07-06 17:13:58.323,FF_Default_DynamicFlow_PickUpHL_b10_fp14_r1,2,2,0,3,267,53,214,90,100.0,0.7,-0.81
105,2026-07-06 17:13:58.324,FF_Default_DynamicFlow_PickUpHL_b16_fp22_r1,2,2,0,3,265,53,212,88,100.0,0.8,-0.81
106,2026-07-06 17:14:00.127,FF_Default_DynamicFlow_PickUpHL_b4_fp6_r1,3,3,0,2,275,54,221,97,100.0,1.1,0.81
107,2026-07-06 17:14:00.128,FF_Default_DynamicFlow_PickUpHL_b10_fp14_r1,3,3,0,2,272,54,218,94,100.0,1.1,0.81
108,2026-07-06 17:14:00.128,FF_Default_DynamicFlow_PickUpHL_b16_fp22_r1,3,3,0,2,269,54,215,91,100.0,1.1,0.81
109,2026-07-06 17:14:02.154,FF_Default_DynamicFlow_PickUpHL_b10_fp14_r1,2,2,0,3,275,55,220,96,100.0,0.7,-0.81
110,2026-07-06 17:14:02.154,FF_Default_DynamicFlow_PickUpHL_b16_fp22_r1,2,2,0,3,273,55,218,94,100.0,0.7,-0.81
111,2026-07-06 17:14:02.155,FF_Default_DynamicFlow_PickUpHL_b22_fp30_r1,2,2,0,3,271,55,216,92,100.0,0.7,-0.81
112,2026-07-06 17:14:04.212,FF_Default_DynamicFlow_PickUpHL_b10_fp14_r1,3,3,0,2,281,56,225,101,100.0,1.1,0.81
113,2026-07-06 17:14:04.214,FF_Default_DynamicFlow_PickUpHL_b16_fp22_r1,3,3,0,2,278,56,222,98,100.0,1.1,0.81
114,2026-07-06 17:14:04.216,FF_Default_DynamicFlow_PickUpHL_b22_fp30_r1,3,3,0,2,275,56,219,95,100.0,1.1,0.81
115,2026-07-06 17:14:06.291,FF_Default_DynamicFlow_PickUpHL_b16_fp22_r1,2,2,0,3,281,57,224,100,100.0,0.7,-0.81
116,2026-07-06 17:14:06.293,FF_Default_DynamicFlow_PickUpHL_b22_fp30_r1,2,2,0,3,279,57,222,98,100.0,0.7,-0.81
